   , Title                                                                                                                                                                                                          , Link                                                                                                                                                                                                                                                 , Price, Stock
  0, A Light in the Attic                                                                                                                                                                                           , https://books.toscrape.com/cataloguea-light-in-the-attic_1000/index.html                                                                                                                                                                             , 51.77, In stock
  1, Tipping the Velvet                                                                                                                                                                                             , https://books.toscrape.com/cataloguetipping-the-velvet_999/index.html                                                                                                                                                                                , 53.74, In stock
  2, Soumission                                                                                                                                                                                                     , https://books.toscrape.com/cataloguesoumission_998/index.html                                                                                                                                                                                        , 50.10, In stock
  3, Sharp Objects                                                                                                                                                                                                  , https://books.toscrape.com/cataloguesharp-objects_997/index.html                                                                                                                                                                                     , 47.82, In stock
  4, Sapiens: A Brief History of Humankind                                                                                                                                                                          , https://books.toscrape.com/cataloguesapiens-a-brief-history-of-humankind_996/index.html                                                                                                                                                              , 54.23, In stock
  5, The Requiem Red                                                                                                                                                                                                , https://books.toscrape.com/cataloguethe-requiem-red_995/index.html                                                                                                                                                                                   , 22.65, In stock
  6, The Dirty Little Secrets of Getting Your Dream Job                                                                                                                                                             , https://books.toscrape.com/cataloguethe-dirty-little-secrets-of-getting-your-dream-job_994/index.html                                                                                                                                                , 33.34, In stock
  7, "The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"                                                                                                                      , https://books.toscrape.com/cataloguethe-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html                                                                                                             , 17.93, In stock
  8, The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics                                                                                                                 , https://books.toscrape.com/cataloguethe-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html                                                                                                     , 22.60, In stock
  9, The Black Maria                                                                                                                                                                                                , https://books.toscrape.com/cataloguethe-black-maria_991/index.html                                                                                                                                                                                   , 52.15, In stock
 10, "Starving Hearts (Triangular Trade Trilogy, #1)"                                                                                                                                                               , https://books.toscrape.com/cataloguestarving-hearts-triangular-trade-trilogy-1_990/index.html                                                                                                                                                        , 13.99, In stock
 11, Shakespeare's Sonnets                                                                                                                                                                                          , https://books.toscrape.com/catalogueshakespeares-sonnets_989/index.html                                                                                                                                                                              , 20.66, In stock
 12, Set Me Free                                                                                                                                                                                                    , https://books.toscrape.com/catalogueset-me-free_988/index.html                                                                                                                                                                                       , 17.46, In stock
